Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Bharat Petroleum,319.85,-4.19%,330.5,"1,11,73,428","1,38,767.10",10.64,61.71,376,234.01,3.49%,20.10%,4.29%,101.19%,71.09%,1.78,2.95%,35.51%,33.19%,44.92,306.15,300.86,57.59,,,,,,,,,,,,,,,,,,,,
Bharat Rasayan,"8,953.50",-0.06%,"8,999.00","1,321","3,720.42",26.41,40.46,"14,284.50","8,798.50",-5.88%,-11.13%,-14.05%,-17.11%,27.29%,3.29,0.02%,13.95%,12.62%,316.55,"9,619.85","10,677.85",38.72,,,,,,,,,,,,,,,,,,,,
Bharat Road Network,23.24,0.61%,23.52,"1,10,216",195.1,1.4,27.46,63.09,20.96,4.40%,-34.41%,-55.86%,-16.25%,-38.36%,0.6,-,-,4.29%,-,25.19,39.4,43.22,,,,,,,,,,,,,,,,,,,,
Bharat Seats,101,-1.84%,102.99,"28,703",634.28,19.59,46.65,116.45,69.84,-7.36%,19.63%,19.63%,19.63%,19.63%,3.29,1.08%,-,14.14%,-,91.21,-,61.86,,,,,,,,,,,,,,,,,,,,
Bharat Wire Ropes,211.26,-1.99%,218.8,"1,47,929","1,446.05",15.37,32.88,300.75,122.23,17.35%,23.43%,-22.33%,227.53%,1003.19%,5.31,-,11.11%,18.57%,14.07,187.39,211.7,65.42,,,,,,,,,,,,,,,,,,,,
Bharti Airtel - PP,"1,379.40",-1.08%,"1,394.00","1,21,886","54,112.16",-,32.27,"1,464.80",996.2,-2.59%,16.60%,30.11%,364.44%,302.92%,10.42,-,-,-,-,"1,374.19","1,248.56",50.85,,,,,,,,,,,,,,,,,,,,
Bharti Hexacom,"1,799.60",-0.12%,"1,820.00","3,32,139","89,980.00",67.31,32.27,"1,938.50","1,030.00",2.35%,32.58%,62.08%,121.27%,121.27%,15.2,0.55%,10.87%,14.30%,8.38,"1,655.90","1,446.77",53.37,,,,,,,,,,,,,,,,,,,,
Bhartiya International,749.5,0.69%,764,"1,547",973.18,62.07,33.69,852,410,3.38%,41.63%,80.00%,369.76%,663.63%,2.17,-,-,9.66%,-,630.36,659.63,76.45,,,,,,,,,,,,,,,,,,,,
Bigbloc Construction,65.65,-1.75%,67.67,"99,420",929.44,98.65,23.37,148.5,58.92,-0.35%,3.55%,-44.79%,30.96%,2244.64%,7.02,-,28.25%,23.33%,4.13,65.87,93.71,48.75,,,,,,,,,,,,,,,,,,,,
Bikaji Foods International,752,-1.27%,773,"2,32,389","18,844.57",95.02,39.33,"1,007.95",558.8,6.86%,14.57%,6.80%,136.89%,136.89%,13.79,0.13%,13.30%,27.25%,11.29,716.81,763.18,61.86,,,,,,,,,,,,,,,,,,,,
Bikewo Green Tech,20.1,2.81%,19.55,"14,000",26.22,39.1,25.8,47.25,14,21.82%,11.05%,-57.46%,-57.46%,-57.46%,0.66,-,-,14.57%,-,16.66,-,64.73,,,,,,,,,,,,,,,,,,,,
Binani Industries,13.98,-0.85%,13.69,"14,990",43.85,-,35.52,23.11,9.17,-5.99%,33.27%,-14.86%,22.63%,22.63%,-0.24,-,-,3.70%,-,15.53,14.97,42.33,,,,,,,,,,,,,,,,,,,,
Biocon,353.55,-0.25%,355,"39,10,927","42,447.21",45.25,43.06,404.7,291,7.74%,8.75%,4.32%,6.80%,-8.12%,1.97,0.35%,5.13%,6.14%,13,332.15,348.03,56.56,,,,,,,,,,,,,,,,,,,,
Biofil Chemicals,52.01,-1.29%,52.77,"58,206",84.64,158.32,47.58,91.87,40.4,18.83%,17.64%,-15.71%,-4.13%,300.08%,4.66,-,3.24%,4.89%,0.44,46.07,57.45,61.75,,,,,,,,,,,,,,,,,,,,
Birla Cable,181.27,-1.08%,184.74,"52,369",543.81,112.64,16.09,317,125.35,21.25%,31.39%,-28.76%,66.84%,314.81%,2.17,-,8.82%,13.34%,3.53,161.95,198.34,64,,,,,,,,,,,,,,,,,,,,
Birla Corporation,"1,364.10",-1.42%,"1,380.00","43,197","10,504.30",32.8,54.95,"1,656.90",910.25,7.51%,33.19%,-10.69%,60.97%,161.20%,1.75,0.72%,6.30%,7.99%,50.47,"1,223.69","1,191.28",66.54,,,,,,,,,,,,,,,,,,,,
Birlanu,"2,285.30",-2.24%,"2,330.00","5,364","1,723.32",65.3,23.37,"2,428.30","1,800.00",6.37%,23.86%,23.86%,23.86%,23.86%,1.45,1.29%,2.78%,3.77%,-,"2,088.98","2,345.88",60.03,,,,,,,,,,,,,,,,,,,,
Birlasoft,421.35,-2.19%,433.5,"21,62,394","11,708.36",23.16,41.34,760.45,331,0.21%,7.57%,-37.32%,24.68%,423.74%,3.44,1.51%,20.49%,26.88%,23.05,398.7,515.63,61.26,,,,,,,,,,,,,,,,,,,,
Black Box,538.35,-1.32%,547.65,"2,21,955","9,116.79",34.68,41.34,714.8,256.01,27.28%,59.11%,101.58%,274.90%,774.23%,12.18,0.18%,-,24.32%,-,429.93,504.36,70.15,,,,,,,,,,,,,,,,,,,,
BLB,15.32,0.59%,15.69,"2,37,356",80.99,20.86,32.57,24.95,13.1,2.34%,14.84%,-17.14%,-18.73%,337.71%,0.83,-,-,-0.63%,-,15.18,18.07,46.62,,,,,,,,,,,,,,,,,,,,
Bliss GVS Pharma,150.06,-1.73%,153,"6,01,990","1,581.19",19.08,47.58,185.5,101.01,26.35%,28.90%,43.68%,89.71%,42.78%,1.53,0.33%,8.13%,11.74%,9.74,123.94,135.6,65.27,,,,,,,,,,,,,,,,,,,,
BLS E-Services,217,-3.61%,226,"3,03,674","1,971.59",38.95,41.34,290.8,131.31,44.68%,46.48%,-18.20%,-40.71%,-40.71%,4.24,0.44%,18.24%,10.49%,4.21,172.29,195.56,68.53,,,,,,,,,,,,,,,,,,,,
BLS International Services,369,-2.56%,378.8,"19,32,779","15,193.24",30.7,41.34,521.8,308.25,1.33%,12.69%,7.27%,288.83%,3227.32%,9.01,-,24.40%,24.10%,8.7,384.01,403.63,45.97,,,,,,,,,,,,,,,,,,,,
Blue Coast Hotels,32.69,-2.01%,32.69,"2,913",47.86,-,43.96,50.47,8.68,29.21%,-31.22%,237.01%,377.23%,875.82%,-3.39,-,-,0.83%,-,28.64,21.1,75.36,,,,,,,,,,,,,,,,,,,,
Blue Dart Express,"6,412.00",-2.07%,"6,547.50","8,031","15,214.35",61.51,30.75,"9,488.70","5,365.00",-4.35%,13.51%,-17.86%,-6.88%,211.26%,9.96,0.38%,22.02%,23.90%,123.54,"6,526.04","7,086.51",47.2,,,,,,,,,,,,,,,,,,,,
Blue Jet Healthcare,968.7,0.94%,970,"6,59,372","16,803.60",54.54,43.06,968.3,377.15,31.86%,15.61%,151.51%,134.33%,134.33%,14.69,-,39.96%,50.91%,9.47,789.84,647.75,62.01,,,,,,,,,,,,,,,,,,,,
Blue Pebble,184,-1.08%,187,"6,000",75.07,14.99,35.52,390,172.1,-10.61%,-14.42%,-24.91%,-11.94%,-11.94%,2.76,-,-,71.03%,-,193.61,265.89,49.03,,,,,,,,,,,,,,,,,,,,
Blue Star,"1,624.30",-0.53%,"1,633.00","8,44,980","33,398.01",57.67,50.04,"2,417.00","1,521.00",0.01%,-20.64%,-3.38%,242.75%,546.80%,10.95,0.55%,15.86%,22.47%,24.34,"1,749.60","1,900.40",50.08,,,,,,,,,,,,,,,,,,,,
Blue Water Logistics,178,-0.03%,183.95,"1,01,000",195.8,18.36,35.52,178.05,135.2,20.23%,20.23%,20.23%,20.23%,20.23%,3.23,-,-,49.90%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Bluspring Enterprises,80.32,-5.00%,80.32,"29,309","1,196.36",-,98.18,89,84.55,-5.00%,-5.00%,-5.00%,-5.00%,-5.00%,8.27,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Bodal Chemicals,75.12,0.99%,74.75,"4,07,010",946.09,47.64,31.75,87.85,50.01,7.65%,19.37%,1.08%,-18.04%,35.11%,0.85,-,3.53%,3.70%,0.51,69.13,70.81,55.24,,,,,,,,,,,,,,,,,,,,
Bodhi Tree Multimedia,9.6,-1.03%,9.99,"25,29,168",173.28,36,22.16,16.24,7.32,21.21%,7.87%,-36.25%,301.67%,500.00%,4.58,-,-,20.83%,-,8.18,10.22,57.69,,,,,,,,,,,,,,,,,,,,
Bohra Industries,31.16,-,31.16,"1,013",44.55,-,19.56,39.29,11.82,4.63%,-7.15%,86.70%,-54.61%,-54.61%,0.84,-,-,-4.84%,-,32.81,24.78,43.78,,,,,,,,,,,,,,,,,,,,
Bombay Burmah Trading,"2,023.30",0.76%,"2,025.00","8,16,047","14,116.95",12.38,46.65,"2,975.00","1,603.00",12.73%,19.15%,20.83%,120.85%,98.28%,2.49,0.85%,26.15%,37.57%,165.89,"1,899.25","2,211.99",55.2,,,,,,,,,,,,,,,,,,,,
Bombay Dyeing,155.98,-3.58%,162.5,"14,56,873","3,221.53",84.71,12.59,256.4,117.5,16.03%,21.65%,-9.83%,51.73%,146.22%,1.41,0.74%,159.61%,196.65%,-,139.77,177.69,61.53,,,,,,,,,,,,,,,,,,,,
Bombay Metrics Supply Chain,48.05,-0.93%,50,"4,000",59.17,13.25,35.81,186.85,38.1,-0.83%,0.73%,-64.73%,-65.98%,86.24%,3.11,0.41%,23.13%,27.73%,5.43,46.18,58.34,49.42,,,,,,,,,,,,,,,,,,,,
Bombay Super Hybrid Seeds,140.54,-0.90%,141.82,"94,120","1,474.79",56.28,35.52,224.5,115.82,6.62%,8.74%,-29.20%,265.51%,1626.54%,14.22,-,29.79%,35.33%,2.16,133.05,152.13,56.47,,,,,,,,,,,,,,,,,,,,
Borana Weaves,229.28,-3.16%,237,"2,46,963",610.92,15.42,28.71,267,216.26,-10.14%,-10.14%,-10.14%,-10.14%,-10.14%,2.71,-,-,33.54%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
BOROSCI,142.11,-2.52%,144.35,"1,11,246","1,263.60",48.59,28.62,230,107.42,9.59%,13.90%,-2.23%,-9.31%,-9.31%,3.22,-,6.24%,8.71%,2.84,133.1,160.79,50.99,,,,,,,,,,,,,,,,,,,,
Borosil,359.85,-2.89%,367.4,"1,45,061","4,299.95",59.76,28.62,515.9,282.65,9.06%,5.19%,12.30%,57.96%,113.66%,5.49,-,10.25%,13.90%,5.52,341.27,388.36,67.64,,,,,,,,,,,,,,,,,,,,
Borosil Renewables,564.4,-2.01%,575.45,"4,23,230","7,369.93",-,28.62,643.9,402.8,4.01%,9.48%,13.15%,-8.54%,546.51%,7.68,-,-,-1.73%,-,522.54,512.09,66.2,,,,,,,,,,,,,,,,,,,,
Bosch,"31,595.00",-0.94%,"31,800.00","7,063","93,185.16",46.72,46.65,"39,088.80","25,921.60",1.90%,17.86%,0.58%,127.95%,189.51%,6.81,1.61%,20.65%,26.37%,646.75,"29,802.63","31,972.99",58.75,,,,,,,,,,,,,,,,,,,,
Boss Packaging Solutions,50,-2.44%,49.5,"8,000",22.23,14.77,39.32,86.6,36.55,-4.85%,6.61%,-42.26%,-42.26%,-42.26%,1.64,-,-,31.09%,-,48.91,-,49.71,,,,,,,,,,,,,,,,,,,,
BPL,92.29,-2.49%,94,"2,71,022",452,7.1,67.22,147.85,62.92,25.96%,22.29%,-11.20%,43.31%,476.81%,1.86,-,-,4.36%,-,77.63,96.92,71.93,,,,,,,,,,,,,,,,,,,,
Brace Port Logistics,87.5,2.88%,84.65,"8,000",98.89,14.18,35.52,184.65,69,-7.55%,14.60%,-45.18%,-45.18%,-45.18%,3.82,-,-,46.76%,-,87.29,-,40.17,,,,,,,,,,,,,,,,,,,,
Brand Concepts,352.75,-1.82%,357.55,"2,961",395.71,61.26,35.81,738.9,273.15,-2.51%,-1.54%,-48.48%,256.67%,2465.45%,5.7,-,19.64%,29.26%,8.53,345.24,465.05,59.03,,,,,,,,,,,,,,,,,,,,
Brigade Enterprises,"1,209.10",-2.08%,"1,234.90","2,84,866","29,547.33",44.06,27.46,"1,453.10",852,16.41%,23.83%,-10.01%,170.58%,835.11%,5.37,0.20%,11.27%,11.98%,21.49,"1,058.93","1,148.27",65.76,,,,,,,,,,,,,,,,,,,,
Britannia Industries,"5,586.50",-1.12%,"5,698.00","2,42,015","1,34,561.07",61.88,52.27,"6,469.90","4,506.00",-0.39%,16.58%,2.71%,66.31%,65.97%,31.22,1.30%,53.81%,61.68%,91.68,"5,404.00","5,305.69",63.4,,,,,,,,,,,,,,,,,,,,
Brooks Laboratories,126.12,-1.48%,129,"19,194",371.51,-,43.06,198.86,80.1,-4.08%,22.43%,52.80%,32.09%,306.18%,3.86,-,-,-27.78%,-,132.68,140.43,42.5,,,,,,,,,,,,,,,,,,,,
BSE,"2,768.90",-3.94%,"2,860.00","84,41,456","1,12,453.08",88.63,35.52,"3,030.00",704.99,19.43%,106.92%,207.33%,1117.10%,6287.31%,26.46,0.27%,22.34%,22.85%,44.38,"2,276.24","1,721.15",80.86,,,,,,,,,,,,,,,,,,,,
BSL,132,0.52%,128.69,"25,563",135.86,16.93,28.71,331.85,131.32,-9.89%,-21.66%,-29.22%,27.72%,452.30%,1.16,-,-,17.40%,-,156.45,206.36,26.65,,,,,,,,,,,,,,,,,,,,
Bulkcorp International,56.55,-2.50%,56.55,"1,200",42.49,12.37,24.63,144.65,50.55,-2.67%,-14.32%,-58.57%,-58.57%,-58.57%,1.41,-,-,47.29%,-,60.68,-,46.81,,,,,,,,,,,,,,,,,,,,
Butterfly Gandhimathi Appliances,754.2,-2.22%,771.35,"5,921","1,348.48",42.26,60.06,"1,250.00",550.7,3.59%,34.97%,1.45%,-36.50%,495.73%,4.24,-,2.53%,3.97%,-,684.09,769.5,58.24,,,,,,,,,,,,,,,,,,,,
C2C Advanced Systems,537.25,1.99%,537.25,"8,400",894.05,-,39.32,954,250.15,26.67%,94.34%,19.16%,19.16%,19.16%,-,-,-,22.66%,-,396.93,-,78.07,,,,,,,,,,,,,,,,,,,,
Cadsys,71.35,-4.87%,78.5,"3,500",71.37,10.24,41.34,267.5,66.5,-23.73%,-9.68%,-72.07%,183.13%,248.05%,2.56,-,-,14.18%,-,80.3,117.38,37.15,,,,,,,,,,,,,,,,,,,,
California Software,13.03,5.00%,13.03,"68,568",20.14,25.83,41.34,27.34,9.13,14.50%,2.20%,-26.63%,-37.36%,136.05%,1.45,-,-,6.96%,-,11.1,11.72,65.37,,,,,,,,,,,,,,,,,,,,
California Software - PP,2.88,4.73%,2.88,"7,941",13.35,-,41.34,4.86,2.28,-13.25%,-36.28%,-31.43%,-31.43%,-31.43%,1.1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Cambridge Technology Enterprises,45.13,-1.89%,46.23,"17,720",88.59,-,41.34,147.6,34.11,10.21%,-1.40%,-51.30%,-27.79%,118.55%,1.33,-,-,9.09%,-,44.21,77.91,42.8,,,,,,,,,,,,,,,,,,,,
Camlin Fine Sciences,300.19,-0.57%,302,"12,55,926","5,641.20",81.26,36.4,304.8,93.4,73.52%,74.78%,179.38%,179.56%,641.21%,6.63,-,-12.24%,-3.19%,-,190.97,139.99,77.3,,,,,,,,,,,,,,,,,,,,
Campus Activewear,284,-1.30%,290,"2,38,562","8,673.31",65.35,33.69,371.9,210,13.94%,13.40%,-0.72%,-11.28%,-25.05%,20.53,-,25.20%,32.89%,4.97,257.13,281,63.45,,,,,,,,,,,,,,,,,,,,
Can Fin Homes,807.7,-0.71%,816.5,"2,91,065","10,754.86",12.62,28.13,951.75,558.5,10.89%,34.08%,0.40%,83.94%,159.54%,2.13,1.48%,17.28%,10.65%,57.59,728.32,757,71.64,,,,,,,,,,,,,,,,,,,,
Canara Bank,115.97,-0.96%,117.7,"2,62,50,292","1,05,192.34",6.06,10.59,125,78.6,14.98%,40.64%,-5.55%,193.89%,458.89%,1.07,3.42%,15.87%,6.11%,17.21,101.91,99.69,74.12,,,,,,,,,,,,,,,,,,,,
Canarys Automations,29.75,0.68%,29.95,"56,000",167.15,19.97,41.34,68.7,23.5,-6.74%,8.78%,-37.43%,-27.97%,-27.97%,1.97,-,-,16.11%,-,30.52,35.98,45.88,,,,,,,,,,,,,,,,,,,,
Cantabil Retail,254.19,0.15%,254.45,"2,13,974","2,126.00",28.44,35.08,334,211.01,5.60%,-2.73%,15.78%,12.40%,441.29%,5.41,0.20%,30.37%,16.80%,7.31,246.64,253.99,59.65,,,,,,,,,,,,,,,,,,,,
Capacite Infraprojects,339.3,-1.37%,345,"2,73,114","2,870.62",14.4,27.46,465,270.25,-5.20%,1.36%,5.59%,194.02%,220.55%,1.7,-,8.88%,14.56%,14.22,355.09,372.95,50.51,,,,,,,,,,,,,,,,,,,,
Capital India Finance,40.48,-1.05%,41.32,"3,58,399","1,575.21",452.5,32.57,41.75,32.51,13.07%,12.44%,12.44%,12.44%,12.44%,2.54,0.05%,-,6.73%,-,-,-,58.28,,,,,,,,,,,,,,,,,,,,
Capital Small Finance Bank,306,0.33%,308.95,"1,24,713","1,384.56",10.5,19.69,370.7,250,10.33%,19.21%,-9.40%,-29.66%,-29.66%,1.03,1.31%,9.31%,6.43%,24.74,286.78,288.98,62.55,,,,,,,,,,,,,,,,,,,,
Capital Trust,95.15,-2.63%,97.72,"92,873",161.85,25.22,32.57,185,67.55,14.78%,-3.30%,-18.78%,5.60%,27.21%,1.24,-,-,5.47%,-,91.6,109.12,56.3,,,,,,,,,,,,,,,,,,,,
Caplin Point Laboratories,"2,130.40",0.67%,"2,121.60","2,24,864","16,193.53",29.97,47.58,"2,641.00","1,365.00",9.57%,14.84%,45.73%,198.17%,464.64%,5.64,0.26%,19.77%,23.88%,62.84,"2,000.80","2,053.04",44.66,,,,,,,,,,,,,,,,,,,,
Capri Global Capital,175.2,-2.64%,179.92,"59,73,870","14,456.04",31.03,32.57,236.25,150.51,4.75%,9.60%,-17.92%,6.67%,483.61%,3.45,0.11%,5.74%,8.67%,3.53,163.08,183.92,67.36,,,,,,,,,,,,,,,,,,,,
Carborundum Universal,934,-2.04%,953.45,"72,496","17,785.03",50.55,37.04,"1,841.15",809.1,-6.41%,-2.96%,-45.24%,35.24%,278.21%,5.15,0.42%,14.58%,19.24%,20.19,993.01,"1,216.59",37.12,,,,,,,,,,,,,,,,,,,,
CARE Ratings,"1,849.30",-4.64%,"1,928.10","1,38,412","5,535.35",42.27,35.52,"1,964.00",921.8,37.56%,60.84%,69.62%,324.98%,362.04%,7.19,0.93%,14.15%,19.44%,34.6,"1,412.27","1,282.08",77.35,,,,,,,,,,,,,,,,,,,,
Carraro,456,1.33%,469.9,"97,567","2,592.43",29,46.65,692.4,253.15,8.95%,43.94%,-28.32%,-28.32%,-28.32%,5.58,-,-,19.76%,-,383.87,-,62.48,,,,,,,,,,,,,,,,,,,,
CarTrade Tech,"1,641.00",-1.18%,"1,656.10","5,58,469","7,784.26",58.75,35.52,"1,889.00",754,0.20%,7.08%,102.51%,156.33%,9.32%,3.55,-,1.91%,4.74%,18.07,"1,618.25","1,386.19",56.8,,,,,,,,,,,,,,,,,,,,
CARYSIL,897.85,-0.14%,900,"84,699","2,551.30",40.12,28.5,937.7,482.3,41.61%,48.63%,4.13%,62.82%,351.18%,4.86,0.27%,17.21%,20.75%,21.88,692.55,728.69,75.94,,,,,,,,,,,,,,,,,,,,
Castrol,216.11,-1.62%,218.62,"14,08,568","21,375.92",23.01,36.4,284.4,162.6,5.79%,-9.92%,5.41%,109.82%,77.28%,9.54,5.92%,40.73%,53.57%,8.95,207.19,214.12,67.59,,,,,,,,,,,,,,,,,,,,
CCL Products,835.4,-1.95%,859.55,"2,63,257","11,154.92",36.6,40.5,915,525,14.75%,47.55%,38.38%,138.75%,263.69%,5.77,0.59%,18.14%,15.67%,19.53,708.99,687.06,61.89,,,,,,,,,,,,,,,,,,,,
CDSL,"1,655.00",-4.85%,"1,728.00","70,63,286","34,589.50",69.02,35.52,"1,989.80",999.6,29.40%,51.86%,57.95%,203.53%,1179.67%,20.65,0.72%,27.84%,36.07%,45.91,"1,387.46","1,456.18",84.98,,,,,,,,,,,,,,,,,,,,
CE Info Systems,"1,786.80",-8.52%,"1,819.10","21,85,495","9,723.78",72.17,41.34,"2,747.85","1,513.00",-9.78%,10.10%,-9.75%,34.37%,28.21%,13.44,0.18%,20.37%,26.47%,25.44,"1,867.13","1,831.72",49.85,,,,,,,,,,,,,,,,,,,,
CEAT,"3,763.90",-2.22%,"3,840.00","61,791","15,225.01",31.55,29.94,"4,044.00","2,343.05",0.37%,44.57%,48.81%,295.49%,307.55%,3.57,0.78%,15.68%,19.89%,169.51,"3,403.38","3,032.72",66.32,,,,,,,,,,,,,,,,,,,,
Ceigall India,252.57,-2.65%,261.4,"1,15,408","4,399.89",15.37,27.46,424.8,235.95,-1.65%,2.92%,-34.69%,-34.69%,-34.69%,2.47,-,33.57%,31.98%,17.06,255.89,314.07,59.54,,,,,,,,,,,,,,,,,,,,
Celebrity Fashions,12.97,-3.50%,13.79,"2,33,244",77.4,56.31,35.08,20.5,8.36,9.64%,15.08%,-27.09%,-3.57%,133.69%,3.89,-,23.03%,21.09%,-,11.99,14.13,48.75,,,,,,,,,,,,,,,,,,,,
Cell Point,19,-1.04%,19.3,"4,800",35.5,96,35.81,38.2,15.6,12.76%,-1.30%,-47.30%,-69.31%,-69.31%,0.48,1.30%,33.48%,11.48%,0.91,17.8,25.35,57.29,,,,,,,,,,,,,,,,,,,,
Cellecor Gadgets,37,-1.33%,38.4,"1,17,000",805.41,26.41,35.81,81.5,30,-13.85%,-32.79%,9.96%,-74.42%,-74.42%,5.23,-,-,32.21%,-,46.54,55.04,33.97,,,,,,,,,,,,,,,,,,,,
Cello World,610.45,-2.29%,624.8,"53,301","13,483.93",40.78,35.81,"1,025.00",494.75,9.27%,13.87%,-29.42%,-22.89%,-22.89%,6.38,0.24%,26.00%,33.67%,15.22,578.36,713.15,58.02,,,,,,,,,,,,,,,,,,,,
Central Bank of India,38.7,-3.56%,40.15,"80,68,939","33,595.24",9.23,10.59,67.75,32.75,6.94%,-7.39%,-41.64%,121.14%,139.63%,1.11,0.47%,8.25%,4.93%,3.59,37.51,49.62,61.86,,,,,,,,,,,,,,,,,,,,
Centrum Capital,33.47,-1.79%,34.29,"4,07,517","1,392.46",-,32.57,43.85,22.4,16.99%,43.59%,-16.91%,62.87%,158.46%,5.09,-,-4.08%,7.98%,-,27.56,31.04,62.98,,,,,,,,,,,,,,,,,,,,
Centum Electronics,"2,229.80",-0.02%,"2,280.00","22,188","3,279.40",-,67.22,"2,690.00","1,140.30",24.56%,74.33%,33.86%,431.60%,801.11%,8.05,0.27%,-1.40%,11.86%,-,"1,925.40","1,772.83",58.04,,,,,,,,,,,,,,,,,,,,
Century Enka,483,-0.21%,485.75,"20,942","1,055.38",15.93,12.59,864.9,419.3,14.22%,-3.84%,-23.82%,1.56%,171.12%,0.75,2.06%,3.13%,4.16%,24.51,488.08,583.15,55.27,,,,,,,,,,,,,,,,,,,,
Century Extrusions,20.63,-1.39%,21.4,"65,624",165.04,16.86,27.08,30.69,15.67,15.12%,3.51%,-4.84%,90.14%,544.69%,2.02,-,-,25.97%,-,18.81,22.03,62.69,,,,,,,,,,,,,,,,,,,,
Century Plyboards,757.6,-1.86%,771.95,"20,036","16,831.83",88.77,35.52,935,631,6.64%,6.72%,11.14%,43.48%,601.81%,7.25,0.13%,20.10%,19.04%,12.61,731.99,782,57.32,,,,,,,,,,,,,,,,,,,,
Cera Sanitaryware,"6,963.00",-0.50%,"6,956.00","18,419","8,980.56",36.73,28.5,"10,789.95","5,060.05",5.27%,31.30%,-6.12%,73.34%,219.35%,6.72,0.92%,17.76%,22.16%,177.56,"6,013.13","6,929.40",76.3,,,,,,,,,,,,,,,,,,,,
Cerebra Integrated Technologies,6.71,1.98%,6.71,"46,498",75.14,-,16.54,15.87,3.99,40.08%,20.25%,-1.47%,-87.29%,-75.78%,0.46,-,-,-23.63%,-,5.13,8.49,83.69,,,,,,,,,,,,,,,,,,,,
CESC,166.87,-2.82%,171.71,"16,94,107","22,119.79",16.62,43.14,212.49,119,0.07%,19.55%,12.08%,120.29%,161.84%,1.89,2.63%,12.08%,9.61%,10.61,161.99,168.79,57.94,,,,,,,,,,,,,,,,,,,,
CG Power & Industrial Solutions,678.2,-2.52%,700,"14,49,331","1,03,687.93",109.21,44.35,874.7,517.7,5.02%,11.47%,1.81%,303.81%,10333.85%,27.67,0.19%,28.86%,36.95%,5.88,646.62,683.92,57.1,,,,,,,,,,,,,,,,,,,,
Chalet Hotels,889.5,-2.48%,912,"46,121","19,431.61",139.79,43.96,"1,052.45",634.05,2.25%,13.97%,5.74%,202.45%,552.60%,6.55,-,15.03%,12.15%,11.47,862.1,852.18,56.9,,,,,,,,,,,,,,,,,,,,
Chaman Lal Setia Exports,347.45,-3.90%,361.9,"1,78,096","1,727.72",18.25,39.33,447.2,203.29,7.90%,15.36%,63.79%,241.81%,170.39%,2.87,0.66%,19.34%,21.30%,21.42,330.77,322.42,55.44,,,,,,,,,,,,,,,,,,,,
Chaman Metallics,148,-1.23%,148,750,357.19,37,18.51,174.5,64,-9.40%,14.73%,114.49%,129.10%,129.10%,3.64,-,-,8.52%,-,155.89,129.85,41.63,,,,,,,,,,,,,,,,,,,,
Chambal Fertilisers & Chemicals,544.9,-3.51%,565,"16,90,242","21,831.54",13.73,19.56,742.2,424.35,-20.95%,-3.62%,27.46%,70.07%,301.55%,2.59,1.77%,17.58%,21.75%,34.58,632.28,543.16,38.62,,,,,,,,,,,,,,,,,,,,
Chamunda Electricals,44.9,-0.11%,45.65,"66,000",49.41,14.74,27.97,71,36.1,4.30%,1.70%,-32.48%,-32.48%,-32.48%,1.97,-,-,46.67%,-,44.17,-,53.25,,,,,,,,,,,,,,,,,,,,
Chandan Healthcare,200.1,0.35%,200,"65,600",489.29,21.98,53.31,215.4,140,8.16%,15.07%,15.43%,15.43%,15.43%,3.98,-,-,39.98%,-,188.67,-,51.81,,,,,,,,,,,,,,,,,,,,
Chavda Infra,131.1,-2.35%,133.15,"20,000",323.24,15.68,27.46,208.85,111.8,-6.19%,-4.55%,-,51.65%,51.65%,2.95,0.37%,39.62%,30.06%,7.61,139.56,155.94,42.59,,,,,,,,,,,,,,,,,,,,
Chembond Chemicals,251,-1.53%,257.5,"2,793",337.55,21.07,36.4,743.2,231,-22.71%,-53.97%,-59.13%,53.24%,81.03%,2.2,-,-,16.72%,-,306.71,362.17,35.57,,,,,,,,,,,,,,,,,,,,
Chemcon Speciality Chemicals,199.08,-2.81%,205.8,"25,087",729.24,30.71,36.4,298.3,160,1.61%,9.84%,-20.14%,-30.21%,-65.96%,1.5,-,12.05%,6.18%,5.09,193.63,223.13,56.31,,,,,,,,,,,,,,,,,,,,
Chemfab Alkalis,792.75,-0.14%,800,"3,765","1,138.68",158.56,36.4,"1,230.00",580,-5.26%,7.08%,15.21%,383.24%,510.75%,2.98,0.16%,17.87%,9.81%,12.41,801.96,923.21,46.92,,,,,,,,,,,,,,,,,,,,
Chemplast Sanmar,434.65,-0.54%,439,"87,288","6,872.23",-,36.4,633.9,379,8.92%,-0.02%,-17.95%,-3.69%,-18.85%,12.37,-,-9.32%,-1.27%,-,425.5,464.67,49.36,,,,,,,,,,,,,,,,,,,,
Chennai Petroleum Corporation,665.45,-2.66%,684,"10,02,022","9,909.31",47.52,61.71,"1,275.00",433.1,7.55%,20.38%,-31.97%,90.48%,847.26%,1.24,0.73%,31.12%,35.53%,170.95,638.74,669.71,54.53,,,,,,,,,,,,,,,,,,,,
